date,festival_name,is_holiday,holiday_scope,holiday_description,demand_multiplier,is_eve
2023-01-01,New Year,1,National / Corporate Holiday,Commercial holiday across India & IT hubs,1.3,0
2023-01-14,Uttarayan (Makar Sankranti),1,Gujarat Public Holiday,"State-wide official holiday in Gujarat. Schools, offices & markets closed.",1.85,0
2023-01-15,Vasi Uttarayan,1,Gujarat Public Holiday,Major regional holiday in Gujarat. Continued kite flying & family gatherings.,1.7,0
2023-01-26,Republic Day,1,National Public Holiday,Gazetted holiday across India. All offices & schools closed.,1.4,0
2023-02-18,Maha Shivratri,1,Gujarat Public Holiday,State holiday in Gujarat. Temple pilgrimages & fasts.,1.35,0
2023-03-07,Holi (Holika Dahan),0,Cultural Observance,Evening bonfire rituals. Evening holiday/leave in Gujarat.,1.3,1
2023-03-08,Dhuleti,1,Gujarat Public Holiday,Official public holiday in Gujarat. Full day off for color celebrations.,1.8,0
2023-03-30,Ram Navami,1,Gujarat Public Holiday,State public holiday in Gujarat.,1.25,0
2023-04-04,Mahavir Jayanti,1,Gujarat Public Holiday,Public holiday in Gujarat.,1.2,0
2023-04-07,Good Friday,1,Public Holiday,Bank & public holiday.,1.25,0
2023-04-14,Dr. Ambedkar Jayanti,1,Public Holiday,State & national holiday.,1.25,0
2023-04-22,Eid-ul-Fitr (Ramzan Eid),1,Public Holiday,Public holiday across Gujarat & India.,1.4,0
2023-05-01,Gujarat Foundation Day / May Day,1,Gujarat State Holiday,Official Gujarat State formation day.,1.3,0
2023-05-05,Buddha Purnima,1,Public Holiday,Bank holiday in India.,1.2,0
2023-06-20,Rath Yatra (Ahmedabad),1,Gujarat Public Holiday,Massive local holiday in Ahmedabad & Saurashtra.,1.5,0
2023-06-29,Bakri Eid (Eid-ul-Adha),1,Public Holiday,Public holiday across Gujarat.,1.35,0
2023-07-29,Muharram,1,Public Holiday,Public holiday.,1.2,0
2023-08-15,Independence Day,1,National Public Holiday,Gazetted national holiday across India.,1.5,0
2023-08-30,Raksha Bandhan,1,Gujarat Public Holiday,Major family festival in Gujarat. General holiday / leave day.,1.45,0
2023-09-07,Janmashtami (Krishna Jayanti),1,Gujarat Public Holiday,Highest peak festival in Gujarat! 3-day holiday in Saurashtra/Surat.,2.0,0
2023-09-19,Ganesh Chaturthi,1,Gujarat Public Holiday,Major public celebration in Surat & Vadodara.,1.4,0
2023-09-28,Eid-e-Milad,1,Public Holiday,Public holiday.,1.2,0
2023-10-02,Mahatma Gandhi Jayanti,1,National Public Holiday,Gazetted national holiday.,1.4,0
2023-10-15,Navratri Start (Nortu 1),0,Cultural Peak,Start of 9-day Garba night festival in Gujarat.,1.5,0
