title,description,start_time,end_date,end_time,booking_date,booking_time,duration,festivals,weekend,vacation_time,unnamed:_18,unnamed:_19,unnamed:_20,selling_price,person_count,duration_hours,commercial_slot,lead_days,competitor_price,outlier_score,outlier_reason,is_global_outlier,slot_lag_price_1,slot_lag_price_2,days_since_last_booking,rolling_price_mean_30,bookings_last_7d,bookings_last_30d,occupancy_rate_7d,occupancy_rate_30d,booking_velocity,month,month_sin,month_cos,year,day_of_week,week_of_year,day_of_year,is_weekend,is_festival,festival_name,festival_detected,festival_category,festival_tier,festival_demand_level,festival_multiplier,festival_overlap_hours,festival_overlap_percentage,festival_window_start,festival_window_end,is_peak_festival,multiple_festival_overlap,highest_priority_festival,is_festival_eve,days_before_festival,days_after_festival,is_long_weekend,is_consecutive_holiday,is_school_vacation,is_local_vacation,is_vacation,season,is_peak_season,is_off_season,slot_type,slot_capacity_hours,commercial_units,duration_bucket,is_extended_booking,hours_over_24,effective_daily_rate,extended_discount_ratio,extended_stay,slot_utilization_ratio,opportunity_cost_factor,is_couple,is_family,is_corporate,weather_condition,lead_time_bucket,lead_time_cat,competitor_diff,temperature,rain_probability,humidity,wind_speed,cloud_cover,demand_score,business_confidence_score,month_slot_avg,month_weekend_slot_avg,month_guest_slot_avg,month_festival_slot_avg,month_leadtime_slot_avg,month_weather_slot_avg,hierarchical_fallback_avg,hierarchical_confidence_score,hierarchical_matched_level,slot_month_weekend_ratio,slot_month_weekend_diff,segment_mean,segment_median,segment_trimmed_mean,segment_weighted_median,segment_std,segment_count,segment_confidence,p25_price,p75_price,is_friday_night,is_saturday_day,is_saturday_night,is_sunday_day,is_sunday_night,is_holiday_bridge,wedding_season,is_same_day,is_lead_1_3d,is_lead_4_7d,is_lead_8_14d,is_lead_15_30d,is_lead_31_60d,is_lead_60d_plus,lead_time_demand_curve,current_occupancy_pct,remaining_inventory,booking_pace,occupancy_trend,demand_index,festival_importance_score,highest_revenue_weekday,highest_revenue_month,weekend_premium_ratio,summer_demand_ratio,winter_demand_ratio,rain_impact_ratio,similar_booking_density_30d,price_momentum_30d,historical_variance,is_near_holiday
Farm Booked,Rent: ₹4800,2023-12-02 19:00:00,2023-12-03 18:00:00,2023-12-03 18:00:00,2023-11-27,17:41:32,23.0000000002328,0,1,0,,,,4800.0,4,24.0,24H Night,5,0.0,0, (Month+Slot),False,8500.0,8500.0,0.0,4800.0,1.0,1.0,0.14285714285714285,0.03333333333333333,0.14285714285714285,11,-0.5000000000000004,0.8660254037844384,2023,0,48,331,1,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,0,0,0,winter,1,0,24H Night,24.0,1.0,24H,0,0.0,4800.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Standard,0.0,26.0,20.0,60.0,4.2,25.0,100.0,90.0,3850.0,4500.0,3375.0,3850.0,4250.0,3850.0,4500.0,0.5,5,1.036,120.0,3500.0,3750.0,3500.0,3750.0,1076.1885607001304,12.0,1.0,2725.0,4175.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.016666666666666666,118.0,4.284428957027177,0.10952380952380952,93.34428957027177,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked by Vatsal,Rent: 8500,2024-01-03 12:00:00,2024-01-05 12:00:00,2024-01-05 12:00:00,2023-11-28,22:10:38,48.0,0,0,0,,,,8500.0,4,24.0,Extended Day,35,0.0,3,"MAD, IQR, Percentile (Month)",True,8500.0,8500.0,1.0,8500.0,2.0,2.0,0.2857142857142857,0.06666666666666667,0.2857142857142857,11,-0.5000000000000004,0.8660254037844384,2023,1,48,332,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,0,0,0,winter,0,1,12H Day,12.0,1.0,24H,0,0.0,8500.0,1.0,0,1.0,1.0,0,1,0,Clear,3,Far Advance,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,95.0,2304.7619047619046,2304.7619047619046,2750.0,2304.7619047619046,2304.7619047619046,2304.7619047619046,2750.0,0.71,3,1.077,158.33,2058.3333333333335,2000.0,2058.3333333333335,2000.0,514.2661732699294,12.0,1.0,1500.0,2425.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.016666666666666666,118.0,4.285071524985538,0.21904761904761905,73.35071524985538,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: ₹3500,2023-12-01 19:00:00,2023-12-02 18:00:00,2023-12-02 18:00:00,2023-12-01,13:22:32,23.0000000002328,0,0,0,,,,3500.0,4,24.0,24H Night,0,0.0,0, (Month+Slot),False,4800.0,8500.0,3.0,4150.0,3.0,3.0,0.42857142857142855,0.1,0.42857142857142855,12,-2.4492935982947064e-16,1.0,2023,4,48,335,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,24H Night,24.0,1.0,24H,0,0.0,3500.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,3983.3333333333335,3133.3333333333335,4100.0,3983.3333333333335,3787.5,3983.3333333333335,3433.3333333333335,0.9,1,1.563,1500.0,2666.6666666666665,3000.0,2666.6666666666665,3000.0,1137.2481406154654,3.0,0.6,2200.0,3300.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,4.285285757138571,0.3285714285714285,77.60285757138571,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 2000,2023-12-04 09:00:00,2023-12-04 16:00:00,2023-12-04 16:00:00,2023-12-03,14:45:45,6.99999999976717,0,0,0,,,,2000.0,4,12.0,12H Day,0,0.0,0, (Strict),False,8500.0,8500.0,2.0,2000.0,4.0,4.0,0.5714285714285714,0.13333333333333333,0.5714285714285714,12,-2.4492935982947064e-16,1.0,2023,6,48,337,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,4000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2125.0,2125.0,2285.714285714286,2125.0,2112.5,2125.0,2290.909090909091,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,4.285392881248192,0.4380952380952381,77.60392881248191,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 5000,2023-12-09 19:00:00,2023-12-10 18:00:00,2023-12-10 18:00:00,2023-12-07,11:54:11,23.0000000002328,0,1,0,,,,5000.0,4,24.0,24H Night,2,0.0,0, (Month+Slot),False,3500.0,4800.0,4.0,4433.333333333333,3.0,5.0,0.42857142857142855,0.16666666666666666,0.42857142857142855,12,-2.4492935982947064e-16,1.0,2023,3,49,341,1,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,1,0,24H Night,24.0,1.0,24H,0,0.0,5000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Last Minute,0.0,26.0,20.0,60.0,4.2,25.0,100.0,90.0,3858.3333333333335,4800.0,3912.5,3858.3333333333335,3600.0,3858.3333333333335,4833.333333333333,0.7,3,1.563,1500.0,4166.666666666667,4500.0,4166.666666666667,4500.0,836.6600265340755,9.0,1.0,3700.0,4800.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.15833333333333333,101.0,2.571274294970873,0.26190476190476186,80.46274294970873,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 2800,2023-12-12 06:00:00,2023-12-12 18:00:00,2023-12-12 18:00:00,2023-12-08,13:16:45,12.0,0,0,0,,,,2800.0,4,12.0,12H Day,3,0.0,0, (Strict),False,2000.0,8500.0,1.0,2400.0,3.0,6.0,0.42857142857142855,0.2,0.42857142857142855,12,-2.4492935982947064e-16,1.0,2023,4,49,342,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,5600.0,1.0,0,1.0,1.0,0,1,0,Clear,1,Last Minute,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2096.4285714285716,2096.4285714285716,2228.5714285714284,2096.4285714285716,2079.1666666666665,2096.4285714285716,2218.181818181818,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.15833333333333333,101.0,2.142750005356875,0.22857142857142854,56.17750005356875,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 2000,2023-12-14 09:00:00,2023-12-14 17:00:00,2023-12-14 17:00:00,2023-12-13,19:16:12,8.00000000023283,0,0,0,,,,2000.0,4,12.0,12H Day,0,0.0,0, (Strict),False,2800.0,2000.0,5.0,2266.6666666666665,3.0,7.0,0.42857142857142855,0.23333333333333334,0.42857142857142855,12,-2.4492935982947064e-16,1.0,2023,2,50,347,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,4000.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2125.0,2125.0,2285.714285714286,2125.0,2112.5,2125.0,2290.909090909091,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,1.8366559800498343,0.1952380952380952,53.116559800498344,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked,Rent: 1200,2023-12-15 09:00:00,2023-12-15 17:00:00,2023-12-15 17:00:00,2023-12-15,00:28:43,8.00000000023283,0,0,0,,,,1200.0,4,12.0,12H Day,0,0.0,3,"MAD, Business_Floor (Strict)",True,2000.0,2800.0,2.0,2000.0,2.0,8.0,0.2857142857142857,0.26666666666666666,0.2857142857142857,12,-2.4492935982947064e-16,1.0,2023,4,50,349,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,12H Day,12.0,0.5,12H,0,0.0,2400.0,1.0,0,1.0,1.0,0,1,0,Clear,0,Same Day,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,75.0,2153.5714285714284,2153.5714285714284,2342.8571428571427,2153.5714285714284,2145.8333333333335,2153.5714285714284,2363.6363636363635,0.98,1,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0,0.15833333333333333,101.0,1.0713883943637827,0.019047619047619035,45.463883943637825,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm booked - Hirenbhai,Rent: 2500,2023-12-27 06:00:00,2023-12-27 18:00:00,2023-12-27 18:00:00,2023-12-16,15:28:27,12.0,0,0,1,,,,2500.0,4,12.0,12H Day,10,0.0,0, (Strict),False,1200.0,2000.0,1.0,2100.0,3.0,9.0,0.42857142857142855,0.3,0.42857142857142855,12,-2.4492935982947064e-16,1.0,2023,5,50,350,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,1,winter,1,1,12H Day,12.0,0.5,12H,0,0.0,5000.0,1.0,0,1.0,1.0,0,1,0,Clear,2,Standard,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,90.0,2107.1428571428573,2107.1428571428573,2250.0,2107.1428571428573,2100.0,2107.1428571428573,2250.0,0.7999999999999999,3,1.212,413.64,1950.0,1750.0,1950.0,1750.0,571.1186134142671,18.0,1.0,1500.0,2300.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1.0,0.15833333333333333,101.0,1.428523811111058,0.12857142857142856,49.03523811111058,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
Farm Booked by Yash,Rent: 3000,2024-01-05 19:00:00,2024-01-06 18:00:00,2024-01-06 18:00:00,2023-12-17,13:52:02,23.0000000002328,0,0,0,,,,3000.0,4,24.0,24H Night,19,0.0,0, (Strict),False,5000.0,3500.0,1.0,4075.0,4.0,10.0,0.5714285714285714,0.3333333333333333,0.5714285714285714,12,-2.4492935982947064e-16,1.0,2023,6,50,351,0,0,Festival,False,Standard,Tier 2,High,1.0,0.0,0.0,,,False,False,Festival,0,7,7,0,0,1,1,0,winter,0,1,24H Night,24.0,1.0,24H,0,0.0,3000.0,1.0,0,1.0,1.0,0,1,0,Clear,2,Advance,0.0,26.0,20.0,60.0,4.2,25.0,53.349999999999994,95.0,4025.0,3216.6666666666665,4162.5,4025.0,4025.0,4025.0,3450.0,0.71,3,1.563,1500.0,2666.6666666666665,3000.0,2666.6666666666665,3000.0,1137.2481406154654,3.0,0.6,2200.0,3300.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.0,0.15833333333333333,101.0,1.7142342872570966,0.23809523809523808,51.892342872570964,0.0,1,5,1.891,1.2,1.067,0.8,0,8500.0,0,0
